match,result,turned_cards,number_of_battles
1452,B,18,4
1453,B,18,4
1454,B,18,4
1455,B,17,4
1456,B,17,4
1457,B,17,4
1458,B,17,4
1459,B,17,4
1460,B,17,4
1461,B,17,4
1462,B,17,4
1463,B,17,4
1464,B,17,3
1465,B,17,3
1466,B,17,3
1467,B,17,4
1468,B,17,4
1469,B,17,4
1470,B,17,4
1471,B,17,4
1472,B,17,4
1473,B,17,4
1474,B,17,4
1475,B,17,4
1476,B,16,3
1477,B,16,3
1478,B,16,3
1479,B,16,3
1480,B,16,3
1481,B,16,3
1482,B,16,3
1483,B,16,3
1484,B,16,3
1485,B,16,3
1486,B,16,3
1487,B,16,3
1488,B,16,3
1489,B,16,3
1490,B,16,3
1491,B,16,3
1492,B,16,3
1493,B,16,3
1494,B,16,3
1495,B,16,3
1496,B,16,3
1497,B,16,3
1498,B,16,3
1499,B,16,3
1500,B,18,4
1501,B,18,4
1502,B,18,4
1503,B,17,4
1504,B,17,4
1505,B,17,4
1506,B,17,4
1507,B,17,4
1508,B,17,4
1509,B,17,4
1510,B,17,4
1511,B,17,4
1512,B,17,4
1513,B,17,4
1514,B,17,4
1515,B,17,5
1516,B,17,5
1517,B,17,5
1518,B,16,4
1519,B,16,4
1520,B,16,4
1521,B,16,4
1522,B,16,4
1523,B,16,4
1524,B,16,4
1525,B,16,4
1526,B,16,4
1527,B,16,4
1528,B,16,4
1529,B,16,4
1530,B,17,3
1531,B,17,3
1532,B,17,3
1533,B,17,4
1534,B,17,4
1535,B,17,4
1536,B,17,4
1537,B,17,4
1538,B,17,4
1539,B,17,4
1540,B,17,4
1541,B,17,4
1542,B,17,4
1543,B,17,4
1544,B,17,4
1545,B,17,5
1546,B,17,5
1547,B,17,5
1548,B,16,4
1549,B,16,4
1550,B,16,4
1551,B,16,4
1552,B,16,4
1553,B,16,4
1554,B,16,4
1555,B,16,4
1556,B,16,4
1557,B,16,4
1558,B,16,4
1559,B,16,4
1560,B,16,3
1561,B,16,3
1562,B,16,3
1563,B,16,3
1564,B,16,3
1565,B,16,3
1566,B,16,3
1567,B,16,3
1568,B,16,3
1569,B,16,3
1570,B,16,3
1571,B,16,3
1572,B,16,3
1573,B,16,3
1574,B,16,3
1575,B,16,3
1576,B,16,3
1577,B,16,3
1578,B,16,3
1579,B,16,3
1580,B,16,3
1581,B,16,3
1582,B,16,3
1583,B,16,3
1584,B,16,4
1585,B,16,4
1586,B,16,4
1587,B,16,4
1588,B,16,4
1589,B,16,4
1590,B,16,4
1591,B,16,4
1592,B,16,4
1593,B,16,4
1594,B,16,4
1595,B,16,4
1596,B,16,4
1597,B,16,4
1598,B,16,4
1599,B,16,4
1600,B,16,4
1601,B,16,4
1602,B,16,4
1603,B,16,4
1604,B,16,4
1605,B,16,4
1606,B,16,4
1607,B,16,4
1608,B,16,4
1609,B,16,4
1610,B,16,4
1611,B,16,4
1612,B,16,4
1613,B,16,4
1614,B,16,4
1615,B,16,4
1616,B,16,4
1617,B,16,4
1618,B,16,4
1619,B,16,4
1620,B,17,3
1621,B,17,3
1622,B,17,3
1623,B,17,3
1624,B,17,3
1625,B,17,3
1626,B,17,3
1627,B,17,3
1628,B,17,3
1629,B,17,4
1630,B,17,4
1631,B,17,4
1632,B,17,4
1633,B,17,4
1634,B,17,4
1635,B,17,4
1636,B,17,4
1637,B,17,4
1638,B,16,3
1639,B,16,3
1640,B,16,3
1641,B,16,3
1642,B,16,3
1643,B,16,3
1644,B,16,3
1645,B,16,3
1646,B,16,3
1647,B,16,3
1648,B,16,3
1649,B,16,3
1650,B,17,3
1651,B,17,3
1652,B,17,3
1653,B,17,4
1654,B,17,4
1655,B,17,4
1656,B,17,4
1657,B,17,4
1658,B,17,4
